source,source_type,date,leader,url,title
El Financiero,domestic,,claudia_sheinbaum,https://www.elfinanciero.com.mx/nacional/2026/02/05/mexico-evalua-como-mandar-petroleo-a-cuba-sin-salir-raspado-por-los-aranceles-de-trump-reuters/,México evalúa cómo mandar petróleo a Cuba sin salir ‘raspado’ por los aranceles de Trump: Reuters
El Financiero,domestic,,claudia_sheinbaum,https://www.elfinanciero.com.mx/nacional/2026/02/06/cuando-enviara-mexico-paquete-de-ayuda-humanitaria-a-cuba/,"Aguanta, Cuba: Ayuda humanitaria de México sale ‘a más tardar’ el próximo lunes, adelanta Sheinbaum"
El Financiero,domestic,,claudia_sheinbaum,https://www.elfinanciero.com.mx/nacional/2026/02/04/sheinbaum-se-toma-un-break-por-esta-razon-no-habra-mananera-del-pueblo-este-jueves-5-de-febrero/,¿Sheinbaum se toma un ‘break’? Por esta razón no habrá Mañanera del Pueblo este jueves 5 de febrero
El Observador,domestic,,yamandú_orsi,https://www.elobservador.com.uy/nacional/yamandu-orsi-visito-la-gran-muralla-china-y-la-ciudad-prohibida-su-segundo-dia-el-pais-asiatico-n6033070,En fotos: Yamandú Orsi visitó la Gran Muralla China y la Ciudad Prohibida en su segundo día en el pa
El Observador,domestic,,yamandú_orsi,https://www.elobservador.com.uy/tras-visto-bueno-china-uruguay-pedira-ingreso-al-rcep-el-acuerdo-comercial-mas-grande-del-mundo-n6033691,"Tras visto bueno de China, Uruguay pedirá ingreso al RCEP, el acuerdo comercial más grande del mundo"
El Observador,domestic,,yamandú_orsi,https://www.elobservador.com.uy/nacional/yamandu-orsi-aseguro-que-las-relaciones-china-y-uruguay-representan-un-proceso-que-no-se-detiene-n6033221,"Yamandú Orsi aseguró que las relaciones entre China y Uruguay representan ""un proceso que no se deti"
El Observador,domestic,,yamandú_orsi,https://www.elobservador.com.uy/nacional/celulares-afuera-el-recuerdo-uruguay-y-la-referencia-trump-detalles-del-encuentro-orsi-xi-jinping-que-arremetio-contra-la-ley-la-selva-n6033549,"Celulares afuera, el recuerdo de Uruguay y la referencia a Trump: detalles del encuentro de Orsi con"
El Observador,domestic,,yamandú_orsi,https://www.elobservador.com.uy/orsi-prepara-discurso-balance-su-primer-ano-gobierno-y-definira-el-lugar-su-regreso-china-el-fa-lo-ve-como-un-mojon-su-narrativa-n6033273,Orsi prepara discurso de balance de su primer año de gobierno y definirá el lugar a su regreso de Ch
El Observador,domestic,,yamandú_orsi,https://www.elobservador.com.uy/nacional/mision-oficial-china-orsi-ya-se-encuentra-shanghai-la-ultima-ciudad-que-visitara-previo-su-regreso-n6033469,"Misión oficial en China: Orsi ya se encuentra en Shanghái, la última ciudad que visitará previo a su"
El Observador,domestic,,yamandú_orsi,https://www.elobservador.com.uy/futbol/auf-tenfield-china-avanzan-la-firma-los-contratos-la-proxima-semana-el-futbol-uruguayo-no-se-vera-gratis-y-liberan-la-senal-un-fin-semana-mas-n6033639,"AUF y Tenfield, en China, avanzan hacia la firma de los contratos: el fútbol uruguayo no se verá gra"
El Observador,domestic,,yamandú_orsi,https://www.elobservador.com.uy/futbol/viernes-definiciones-china-dia-clave-arreglar-todo-y-firmar-contratos-auf-y-tenfield-derechos-tv-del-futbol-uruguayo-la-gira-presidencial-orsi-n6033545,Viernes de definiciones en China: día clave para arreglar todo y firmar contratos entre AUF y Tenfie
El Observador,domestic,,yamandú_orsi,https://www.elobservador.com.uy/futbol/gira-la-auf-china-inversiones-la-remodelacion-del-estadio-centenario-el-mundial-2030-y-un-intercambio-la-base-del-futbol-n6033674,Gira de la AUF por China: inversiones para la remodelación del Estadio Centenario para el Mundial 20
El Observador,domestic,,yamandú_orsi,https://www.elobservador.com.uy/nacional/orsi-le-pateo-un-penal-un-nino-chino-pero-no-quedo-conforme-el-gol-se-lo-dejo-hacer-dijo-el-presidente-n6033390,"Orsi le pateó un penal a un niño chino pero no quedó conforme con el gol: ""se lo dejó hacer"", dijo e"
El País,domestic,,yamandú_orsi,https://www.elpais.com.uy/mundo/taiwan-cargo-contra-el-gobierno-uruguayo-por-afirmar-que-la-isla-es-parte-inalienable-de-china,"Taiwán cargó contra el Gobierno uruguayo por afirmar que la isla es ""parte inalienable"" de China"
El País,domestic,,yamandú_orsi,https://www.elpais.com.uy/informacion/politica/yamandu-orsi-recorrio-la-muralla-china-y-la-ciudad-prohibida-en-la-previa-del-encuentro-con-xi-jinping,Yamandú Orsi recorrió la Muralla China y la Ciudad Prohibida en la previa del encuentro con Xi Jinpi
El País,domestic,,yamandú_orsi,https://www.elpais.com.uy/informacion/politica/uruguay-consolida-continuidad-en-relacion-con-china-y-deja-por-el-camino-posibilidad-de-tlc-bilateral,Uruguay consolida “continuidad” en relación con China y deja por el camino posibilidad de TLC bilate
El País,domestic,,yamandú_orsi,https://www.elpais.com.uy/informacion/politica/en-declaracion-conjunta-uruguay-y-china-reafirman-su-intencion-de-avanzar-en-un-tlc-entre-el-pais-asiatico-y-el-mercosur,"En declaración conjunta, Uruguay y China reafirman su intención de avanzar en un TLC entre el país a"
El País,domestic,,yamandú_orsi,https://www.elpais.com.uy/informacion/politica/de-regreso-en-el-poder-fa-celebra-55-anos-a-la-espera-de-un-quiebre-el-1,"De regreso al poder, FA celebra 55 años y marca discurso de Orsi en el Parlamento como día clave"
El País,domestic,,yamandú_orsi,https://www.elpais.com.uy/informacion/politica/desde-el-puerto-mas-grande-del-mundo-hasta-un-jardin-de-700-anos-asi-fue-el-penultimo-dia-de-orsi-en-china,Desde el puerto más grande del mundo hasta un jardín de 700 años: así fue el penúltimo día de Orsi e
El País,domestic,,yamandú_orsi,https://www.elpais.com.uy/informacion/sociedad/malestar-en-el-poder-ejecutivo-con-la-postura-de-fernando-lorenzo-desde-cinve-a-favor-de-gravar-al-1-mas-rico,"Malestar en el Poder Ejecutivo con la postura de Fernando Lorenzo desde Cinve, a favor de gravar al "
El País,domestic,,yamandú_orsi,https://www.elpais.com.uy/informacion/sociedad/caso-cardama-auditoria-de-bureau-veritas-califica-que-calidad-de-construccion-de-los-buques-es-satisfactoria,"Caso Cardama: auditoría de Bureau Veritas califica que calidad de construcción de los buques ""es sat"
El País,domestic,,yamandú_orsi,https://rurales.elpais.com.uy/valor-agregado/china-fratti-destaco-una-apertura-inedita-y-confirmo-nuevos-acuerdos-sanitarios-y-comerciales-para-el-agro-uruguayo,Fratti valoró la apertura de China y los avances en acuerdos para el sector agropecuario
El País,domestic,,yamandú_orsi,https://www.elpais.com.uy/informacion/politica/orsi-tras-su-reunion-con-xi-jinping-en-china-si-termina-en-un-tlc-a-esta-altura-no-es-lo-mas-importante,"Orsi tras su reunión con Xi Jinping en China: ""Si termina en un TLC, a esta altura no es lo más impo"
El País,domestic,,yamandú_orsi,https://www.elpais.com.uy/informacion/politica/orsi-busco-inversiones-y-promocionar-el-comercio-ante-170-empresarios-chinos-en-su-ultimo-dia-de-gira,"Orsi buscó inversiones y promocionar el comercio ante 170 empresarios chinos, en su último día de gi"
El Universal,domestic,,claudia_sheinbaum,https://www.eluniversal.com.mx/nacion/no-somos-santa-anna-dice-sheinbaum-ante-declaraciones-de-trump-lee-articulos-de-la-constitucion-mexicana-en-la-mananera/,"""No somos Santa Anna"", dice Sheinbaum ante declaraciones de Trump"
Financial Times,domestic,,keir_starmer,https://www.ft.com/content/b5b3f709-ff8d-4a22-9d4f-1609775bf52b,"Mandelson, money - and the risk to the prime minister"
Financial Times,domestic,,keir_starmer,https://www.ft.com/content/584aec03-6eaa-4aee-8751-88592253d3bc,Keir Starmer apologises to victims of Jeffrey Epstein
Financial Times,domestic,,keir_starmer,https://www.ft.com/content/af753c0f-cb24-4ff2-9630-c5095c58b038,Morgan McSweeney resigns as Downing Street chief of staff
